% Model:              hydro_005.mph
% Version:            COMSOL 5.4.0.225
% Date:               Apr 16 2025, 10:51
% Dimension:          3
% Nodes:              3184
% Expressions:        4
% Description:        Velocity field, x component, Velocity field, y component, Velocity field, z component, Pressure
% Length unit:        m
% x                       y                        z                        u2 (m/s) @ t=1           v2 (m/s) @ t=1           w2 (m/s) @ t=1           p2 (Pa) @ t=1
5.0E-4                    1.968552691954866E-4     3.4498745180224E-4       -4.512099061312252E-10   3.559359896714319E-11    -1.6767483623022903E-9   0.10711536956224563
5.0E-4                    3.418799099446287E-4     3.035163612481533E-4     -3.32385207936379E-10    -5.163740217261002E-11   -1.6918662526780263E-9   0.10711532911286181
4.4322438008168914E-4     2.4309003291594108E-4    -4.349622635673203E-4    3.2458382754775755E-10   8.041624780875337E-12    -1.5850330430815869E-9   0.10711468683891254
5.0E-4                    1.9999999999999998E-4    -5.0E-4                  4.291009569180361E-10    -4.503697429041919E-11   -1.3559001259754747E-9   0.10711465079379333
5.0E-4                    2.3082086812797575E-4    -3.468187356484975E-4    4.2845912068839997E-10   -2.4270486191185163E-11  -1.6606944513960651E-9   0.10711470049670391
5.0E-4                    1.5630940875158738E-4    -4.079693212137022E-4    4.74616493147995E-10     -4.300711541199996E-11   -1.5717540269927926E-9   0.10711466557562965
3.627369149880441E-4      2.2530434951978788E-4    3.97448914834228E-4      -2.1229126652912096E-10  -3.284368564919002E-11   -1.8570106479867524E-9   0.1071153526307701
3.212459746331726E-4      3.212459746331726E-4     4.158800616783913E-4     -1.2492038512054188E-10  -1.2492038512054188E-10  -1.758755797373272E-9    0.10711535300566165
3.941536715960719E-4      3.2250617569130863E-4    3.6985112750251585E-4    -2.203049286629859E-10   -1.0206924348212754E-10  -1.7429287161817864E-9   0.10711533939581928
4.40182802376719E-4       4.40182802376719E-4      2.40021136498014E-4      -1.701144509523158E-10   -1.7011445095231576E-10  -1.826619549467809E-9    0.10711527530064673
5.0E-4                    5.0E-4                   1.9999999999999996E-4    -1.7164131880757794E-10  -1.7164616245177443E-10  -1.7719957636505172E-9   0.10711525645602965
5.0E-4                    4.1673210158820997E-4    1.546864038982848E-4     -1.7592490233556745E-10  -7.629964535452991E-11   -1.9210417408822064E-9   0.10711520710400178
4.3642885297617514E-4     3.4104341546271395E-4    2.941410146132674E-4     -2.5084603404333014E-10  -9.173755183082906E-11   -1.8219906376997555E-9   0.10711530658516658
5.0E-4                    3.336147770831777E-4     2.0414026155861605E-4    -2.7177937353960666E-10  -2.9397676184863234E-11  -1.890647903070642E-9    0.10711525528848444
4.33460511494354E-4       3.6757531542489955E-4    2.1552461096677742E-4    -1.9289519831403065E-10  -9.801081303092698E-11   -1.956820658083188E-9    0.10711524951133145
3.5693888569812173E-4     3.5693888569812173E-4    3.354929638760304E-4     -1.5675631936504247E-10  -1.5675631936504247E-10  -1.8326824234936397E-9   0.10711532079830065
3.8887808511270773E-4     3.8887808511270773E-4    2.642132287078183E-4     -1.5927746992354307E-10  -1.5927746992354307E-10  -1.9002457797356097E-9   0.10711528287915263
